project_name,domain,difficulty
Spotify Analysis,Data Science,Beginner
Sales Dashboard,Data Analytics,Beginner
Portfolio Website,Web Development,Beginner
House Price Prediction,Machine Learning,Beginner
Notes App,Android Development,Beginner
Static Site Hosting,Cloud Computing,Beginner
Image Classifier,AI,Beginner
Vulnerability Scanner,Cyber Security,Beginner
Visa Approval Prediction,Machine Learning,Intermediate
Customer Churn Prediction,Data Science,Intermediate
Business Intelligence System,Data Analytics,Intermediate
Recommendation System,Machine Learning,Intermediate
Ride Sharing App,Android Development,Intermediate
Auto-Scaling Web Cluster,Cloud Computing,Intermediate
SIEM System,Cyber Security,Intermediate
EcosortAI,AI,Advanced
SaaS Application,Full Stack + AI,Advanced
AI Career Advisor,Full Stack + AI,Advanced
